timestamp,symbol,address,market_cap,volume_24h,liquidity_usd,holders_count,age_hours,buys_24h,sells_24h,exchange_rate
2026-09-21 06:09:32.935940+00:00,SHRUB,0x5d9144d2d017386519a7134Fcc7f1E4bA22f920c,1405041.762255438,11044617.56730486,389825.31,3139,515.479478773611,3130,1631,0.00154063
2026-09-21 06:09:32.935940+00:00,AMC,0x05a3d1Cd21d0C88145E82600E62e7E496e0F222B,3279972.801878376,3415135.934384333,2011896.3,11156,417.6739896391667,740,604,2.71
2026-09-21 06:09:32.935940+00:00,SI,0xEF82DDc566653699B89C3aFe123559a75aAA2976,1617742.7854782648,3062424.580904402,99249.37,4248,38.65213574444444,5651,6122,0.00161888
2026-09-21 06:09:32.935940+00:00,USO,0xa30FA36Db767ad9eD3f7a60fC79526fB4d56D344,3049374.671578444,2642134.1276345737,1807454.21,11702,1580.4233153116668,546,564,151.45
2026-09-21 17:05:23.354847+00:00,AMC,0x385F4f8ae47651ce5F58F5265395a669f8281e18,29256188.42779726,4678360.04671739,2110455.38,31055,428.61104906583336,765,648,0.02921863
2026-09-21 17:05:23.354847+00:00,PIPEDOG,0x5Cb6F181081301b44905F3ae15419112ecaBd8A6,29494847.347861383,3134845.8197736014,9320529.81,8659,1316.5814051669445,364,322,0.00238908
2026-09-21 17:05:23.354847+00:00,NVDA,0xd0601CE157Db5bdC3162BbaC2a2C8aF5320D9EEC,21169102.32682098,38376221.9089282,6227147.81,175818,1494.0776826308334,24159,23238,226.33
2026-09-21 17:05:23.354847+00:00,SPY,0x117cc2133c37B721F49dE2A7a74833232B3B4C0C,24512741.818072464,37810135.16572015,7011822.91,70258,1665.6377728991663,5983,3899,772.21
2026-09-21 17:05:23.354847+00:00,STANDARD,0x88ad8DdF1E3898412146a534538d418c6F8A9062,22579270.854915906,1680888.0822492545,14254622.06,5713,160.1046778922222,340,532,0.246049
2026-09-21 17:05:23.354847+00:00,DELTA,0xe8ffd7e24187F72afB08d75B1bb13088A989a791,15960806.801390933,2752153.2009189124,1212079.69,16446,1242.1212354394445,1399,1744,0.01773464
2026-09-21 17:05:23.354847+00:00,STONKBROKER,0xe934e36A439C94017B64a3FecE66AF12099aBF50,17050623.72977478,2049075.12342258,2897332.23,43832,1573.2790914388888,249,100,0.01130766
2026-09-21 17:05:23.354847+00:00,DOGO,0x77b0AA38451ccDC1b42587E2f80B9879A7f82356,15408603.436963271,865037.0539924765,1531403.18,20568,1013.4425498191669,96,83,0.01525452
2026-09-21 17:05:23.354847+00:00,SPCX,0x4a0E65A3EcceC6dBe60AE065F2e7bb85Fae35eEa,11092138.576337757,25346411.45158705,2579520.67,108857,1445.170684639167,8732,8695,154.83
