date,wallet,account_value,day_pnl,day_roi,week_pnl,week_roi,month_pnl,month_roi,month_volume
2026-09-09,0x9df6bda43fd897bf1be8b87841f6e6f89c9f5490,843051.719739,54350.88,0.0689119075,250525.770066,0.4228097861,674042.57943,3.9882019292,74743434.16
2026-09-09,0x5242739cf086d71d65b0c557d2531769156369ab,345156.861683,105891.954579,0.428253066,157615.700997,0.7424005282,319426.34103,3.6949001929,1407700.35
2026-09-09,0x91867345424fb158888ff9c5f1b1b2e7cd7d65d5,378224.574017,-19067.5823,-0.0773171818,81356.130538,0.5565043745,260163.899078,3.8156855984,7418368.8
2026-09-09,0x558afca8d68f6a7335837b06ce218a234978225b,388304.275675,23921.891555,0.065650516,76374.32505,0.2336106707,452300.091725,3.9342521272,2952167.39
2026-09-09,0x0c44471cc8516125ead11e09446302ae20540ed4,797819.316135,94143.166597,0.1337876332,197172.060644,0.2063229896,926587.363458,3.8414222709,42500706.4
2026-09-09,0xe6e3355646051ff76174dd36f6e0fbe2b2cb67f7,314568.308453,18532.323163,0.0626015893,145583.615287,0.861519541,307163.284945,3.5142516697,2817359.46
2026-09-09,0xffb285456daa57d757b9c9020a6302afe5a95ed6,419320.280038,62087.731267,0.2474169267,242409.559596,1.3702366877,319319.603843,3.1931744463,3986071.14
2026-09-09,0x795cfd1b03eafc11c4ec958b8a94cfc9aa64a242,8107099.926772,215167.694641,0.0272642603,1884798.995827,0.3029102926,6375379.789774,3.6815300888,89337744.3
2026-09-09,0x31fe86dadaf5fe01b3a411770338e09ef49553ba,547911.703082,113258.11637,0.2605709922,220399.987131,0.6729529858,513802.462101,3.3328660262,32410932.24
2026-09-09,0x615f9484c8f46ca4fd4d2c0291c42661043a3d87,808114.986567,52407.531018,0.0693489665,138885.612694,0.2075306586,630888.553422,3.5597881322,53574890.77
2026-09-09,0xeb0f432beecf10dcc828fc1e36a3386caf634637,1322292.577317,268095.112557,0.2322783759,1159199.675107,2.0103581874,1449778.147317,2.6149242954,61239299.28
2026-09-09,0x1338a67b37aeaf796357d78501a0c3695c51c48e,1570441.759583,299587.454113,0.2357373402,1091235.526494,2.2305591737,1129094.379583,2.501528662,8475259.36
2026-09-09,0xb64460b8f4a2f521b815a209f053d35fb1977d51,781075.51218,45508.808947,0.0618690443,160034.797432,0.257688093,608070.039133,3.5147445247,4461211.29
2026-09-09,0x0eba880f6be60142c70019d2dd46c49c47204eea,1262750.826898,372314.871235,0.4181265018,868658.98444,2.2042044286,899665.764207,2.4778374454,40989740.21
2026-09-09,0x20b7807939c774a152b396beb704acac68fa10fe,346980.795178,73682.830046,0.2692135204,119380.287146,0.5235996567,266816.452853,3.3118954079,2234915.97
2026-09-09,0x8a3cf3c4b300be69429cce5beb2ef14d7200b6b7,3557449.835432,324869.689439,0.1004985723,596711.221725,0.1949566092,2878154.18032,3.4916485011,2220884.38
2026-09-09,0x186db447f4de2f258ec100aa194b6e9974a46482,2259741.103475,375464.583773,0.1992619341,208033.47758,0.1013952841,1759731.503475,3.5193954346,130656834.15
2026-09-09,0x68f33dd18add8ad4830d78ae66faa98d58f2310e,595587.737772,89740.830031,0.1774070942,347496.378735,1.4006790889,441689.365704,2.8700067439,6388862.07
2026-09-09,0xb01d0612743a3401b16bef157bd69a909e3cd1dd,380480.886156,18383.199583,0.3729214744,14759.81624,0.2620392485,193114.709142,3.3834592101,41725091.39
2026-09-09,0x1bfaa967c21ddf88dc0da624f983cd7565e00c76,269538.695858,-6143.789604,-0.1718642355,143220.02613,1.133799354,204290.24275,2.9932876155,3653909.31
2026-09-09,0x75ec3ba266176e733f1b1fdaa15052f5eff724b8,3378182.079883,363945.896694,0.1207423289,1417346.001798,0.7228273784,2557917.722368,3.1184057618,75434266.51
2026-09-09,0xcbbc60df1f1b062e5ce90715e1400a4acfe3985f,494514.737527,121718.420927,0.3265011362,282704.483775,1.3347063174,363380.565559,2.7710592907,7983926.74
2026-09-09,0xb2662fca65f6446b8b1898340118d44d680a4449,1960673.628517,451355.419861,0.2990458985,1114721.720545,1.3177128747,1440429.667268,2.7687580723,6125545.84
2026-09-09,0xb676a78f19227ffe9a97db93263fce675e547dbf,412593.108772,75192.921435,0.2228597501,299971.434082,1.4447982588,509992.409063,2.6951803298,177871766.83
2026-09-09,0xc98ed10256c47ba49317056ceb2918bb245a3f19,408113.194279,65868.258239,0.1921786609,120083.107691,0.4161892408,311435.990123,3.2015318453,1406437.21
2026-09-09,0xea0027b6ea9b6d7d401b5266979cc3b3ca87a918,22241118.667531,3256193.670356,0.1715146976,7997793.287328,0.5615116606,20634038.296588,3.1230187516,40033925.96
2026-09-09,0x422d82d5e532fccfadc6a72d8c6b64727892239e,1716028.5395610002,234045.845857,0.1579169245,1001726.825772,0.9701427432,1549845.819473,2.8899980129,4401144.11
2026-09-09,0x0f83a7bf2ea16c7d8c90e3aa4ca0c8e58a83c9ea,398919.224208,50409.935364,0.1446444528,122119.181628,0.4411819467,302037.168033,3.1175630755,10595461.97
2026-09-09,0x613ead0ea5af374af0ccfc117ef116a8e8d133fe,620351.204366,58242.513412,0.1035958966,190167.403126,0.4419580811,512714.191304,3.0878446227,6734507.68
2026-09-09,0x0e1cdcd958d002d98528c973f1397b7784abce6d,745065.636991,40231.08304,0.0942671739,209192.714401,0.8114044237,553996.482941,2.8994553605,9278422.83
2026-09-09,0x2c6f7831be3fe15cc7025672f27623a921553725,5107280.76605,271467.126175,0.0895254227,1343195.604505,0.685107282,3809237.523509,2.9345998644,11003707.82
2026-09-09,0x64702807a1f0f9888ea22b858099d7f481227b55,2693467.061004,30665.734175,0.0115163433,1114677.93339,0.7060334492,2148836.466713,2.9342852568,53216903.54
2026-09-09,0x456f1049c0f2ec990091bbd3f30af62aca3fcdf1,2383522.597661,341593.074047,0.1672893555,1184034.753572,0.9871169261,1748402.343546,2.7528681887,32036475.75
2026-09-09,0xeadc152ac1014ace57c6b353f89adf5faffe9d55,14299013.279045,531726.437091,0.0484662188,5682956.756687,0.6893435827,12346072.592788,2.9135627981,34556223.48
2026-09-09,0xa55a9a19f5f5e18cbb6b5892d1659956663a1f35,871516.579019,209537.774948,0.3165324534,338683.045589,0.6356263717,647511.573747,2.8906120779,8666575.88
2026-09-09,0x146c7c66d5045344e1bf6731849622d2edd450d0,267260.477693,34641.297487,0.1489184918,48812.560409,0.2234517088,202459.115118,3.1243033645,36084563.78
2026-09-09,0x76fe28b803eeba445c34afc2f914e6bcb71112fd,1020173.051156,3147.845639,0.0030948458,235886.233166,0.3007269217,771199.758849,3.0962764081,82239131.45
2026-09-09,0x7b51c5d9366077e1b3c1cba383389752f486071b,542961.208061,11100.561215,0.0208711836,353451.513337,1.8650840731,433140.525505,2.2818405227,13681149.86
2026-09-09,0xd745e55d0f7d8b32d875d4674003bfc9d9d1ec4c,459319.410948,81884.416072,0.216949719,157885.028649,0.5237790973,341989.456924,2.9147668195,17038862.03
2026-09-09,0x005a09b498f2a28b54652a70d7812e63414161fe,684431.441841,248262.767814,0.5691898171,493649.952251,2.5875149277,441956.616519,1.8226907306,1652427.65
2026-09-09,0xa38747075ee46e51abdeb96e699fe60efe19b933,427581.669979,176017.304282,0.6996909272,634207.250928,2.856538776,545203.141573,1.6225144912,40445912.55
